Tipo,Título,Autor(es),Descripción,Valoración promedio,Fecha de lanzamiento
Libro,Harry Potter y la piedra filosofal,J.K. Rowling,"Con las manos temblorosas, Harry le dio la vuelta al sobre y vio un sello de lacre púrpura con un escudo de armas: un león, un águila, un tejón y una serpiente, que rodeaban una gran letra H. Harry Potter nunca había oído nada sobre Hogwarts cuando las cartas comienzan a caer en el felpudo del número cuatro de Privet Drive. Escritas en tinta verde en un pergamino amarillento con un sello morado, sus horribles tíos las han confiscado velozmente. En su undécimo cumpleaños, un hombre gigante de ojos negros llamado Rubeus Hagrid aparece con una noticia extraordinaria: Harry Potter es un mago y tiene una plaza en el Colegio Hogwarts de Magia y Hechicería. ¡Una aventura increíble está a punto de empezar! Tema musical compuesto por James Hannigan.",4,
Libro,Harry Potter y la piedra filosofal,J. K. Rowling,"Rescatado del descuido de su tia y tio, un huerfano con un gran destino matricula en la escuela Hogwarts para Magos y Brujas.",4,
Libro,Harry Potter: La Colección Completa (1-7),J.K. Rowling,"Abandonado de bebé en un portal, Harry Potter poco se imagina que él es ""el niño que vivió"", o que es famoso en todo el mundo mágico. Años más tarde se queda asombrado al recibir una carta de admisión al Colegio Hogwarts de Magia y Hechicería, y pronto se adentra en la mayor aventura de magia imaginable. Únete a Harry y a sus siempre leales amigos Hermione y Ron en esta historia sobre el poder de la verdad, del amor y de la esperanza. Convertidas ya en clásicos de nuestro tiempo, las aventuras de Harry Potter son siempre un refugio de familiaridad y entretenimiento. Con su mensaje de esperanza, unión y sobre el poder inextinguible de la verdad y el amor, la historia del niño que vivió sigue deleitando a nuevas generaciones de lectores.",5,
Libro,Harry Potter y el misterio del príncipe,J.K. Rowling,"En efecto, suspendido en el cielo encima del castillo, había un reluciente cráneo verde con lengua de serpiente, la marca que dejaban los mortífagos cuando salían de un edificio donde habían matado... Cuando Dumbledore llega a Privet Drive una noche de verano para recoger a Harry Potter, su mano, la que utiliza para blandir su varita, tiene un color negruzco y parece débil, pero no le cuenta el porqué. Los secretos y las sospechas se extienden por todo el mundo mágico y Hogwarts no es ninguna excepción. Harry está convencido de que Malfoy también porta la marca tenebrosa: hay un mortífago entre ellos. Harry necesitará magia muy poderosa y a sus verdaderos amigos mientras descubre los secretos más oscuros de Voldemort y Dumbledore le prepara para enfrentarse a su destino... Tema musical compuesto por James Hannigan.",4,
Libro,Harry Potter Y El Prisionero de Azkaban (Ed. Minalima),J K Rowling,"Sumérgete en esta magnífica edición especial de Harry Potter y el prisionero de Azkaban, obra del prestigioso estudio MinaLima, responsable del diseño gráfico de las películas de la saga «Harry Potter» y de Animales fantásticos. En esta edición especial de Harry Potter y el prisionero de Azkaban, el texto completo e íntegro de la obra original de J.K. Rowling va acompañado de preciosas ilustraciones a todo color en casi todas las páginas, un diseño excelente y varias sorpresas interactivas de ingeniería en papel, obra del célebre estudio MinaLima. ¡Una nueva forma de vivir la magia del autobús noctámbulo, cabalgar sobre el hipogrifo Buckbeak y descubrir el Mapa del Merodeador! *El regalo perfecto para los fans de «Harry Potter». *Un tesoro para la estantería de cualquier coleccionista. *Una joya con sorpresas interactivas que disfrutarán lectores de todas las edades.",No disponible,
Libro,Harry Potter Y la Piedra Filosofal,J. K. Rowling,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and Witches.",4.5,
Libro,Harry Potter y la Orden del Fénix,J.K. Rowling,"«Compartes los pensamientos y las emociones con el Señor Tenebroso. El director cree que no es conveniente que eso continúe ocurriendo. Quiere que te enseñe a cerrar tu mente al Señor Tenebroso.» La oscuridad se ciñe sobre Hogwarts. Tras el ataque de los dementores a su primo Dudley, Harry Potter sabe que Voldemort no se detendrá ante nada hasta dar con él. Hay muchos que niegan la vuelta del Señor Tenebroso, pero Harry no está solo: una orden secreta se reúne en Grimmauld Place para luchar contra las fuerzas oscuras. Harry debe permitir que el profesor Snape le enseñe a protegerse contra los brutales ataques de Voldemort a su mente. Pero cada día son más fuertes y Harry se está quedando sin tiempo... Tema musical compuesto por James Hannigan.",4,
Libro,Harry Potter y el Caliz de Fuego / Harry Potter and the Goblet of Fire,J. K. Rowling,No disponible,No disponible,
Libro,La magia desde dentro: así se hizo animales fantásticos y dónde encontrarlos,Ian Nathan,"REGRESO AL MUNDO DE LA MAGIA Descubre cómo el director David Yates, el productor David Heyman y un talentoso equipo de nomajs trasladaron a la pantalla Animales fantásticos y dónde encontrarlos, de J. K. Rowling. Conoce a Newt Scamander, magizoólogo, y explora maravillas como el MACUSA, homólogo estadounidense del Ministerio de la Magia, el bar clandestino The Blind Pig, guarida del inframundo mágico, los secretos mágicos de la maleta de Newt y los animales fantásticos. Permite que La magia desde dentro: así se hizo Animales fantásticos y dónde encontrarlos te lleve de viaje cinematográfico hasta el Nueva York de los años 20. Descubre cosas sobre los trajes, las varitas, los efectos especiales, averigua a quién pertenece cada varita, qué famoso mago es amigo de Newt, quién es un legilimante, ¡y qué animales acaban en el zoo! Lleno de fotos emocionantes y secretos detrás de las cámaras, revelados por J. K. Rowling, David Yates, el diseñador de producción Stuart Craig, Eddie Redmayne y el r esto de estrellas, este libro es el complemento definitivo a la película, la introducción perfecta a Animales fantásticos y dónde encontrarlos. “Me pareció divertido. Emocionante. Y conmovedor. Trasladaba toda la fantasía y la imaginación de Harry Potter al Nueva York del charlestón y la ley seca. Un escenario muy emocionante por el que moverse” Eddie Redmayne",No disponible,
Libro,Harry Potter y la cámara secreta,J. K. Rowling,"Tras derrotar una vez más a lord Voldemort, su siniestro enemigo en Harry Potter y la piedra filosofal, Harry espera impaciente en casa de sus insoportables tíos el inicio del segundo curso del Colegio Hogwarts de Magia y Hechicería. Sin embargo, la espera dura poco, pues un elfo aparece en su habitación y le advierte que una amenaza mortal se cierne sobre la escuela. Así pues, Harry no se lo piensa dos veces y, acompañado de Ron, su mejor amigo, se dirige a Hogwarts en un coche volador. Pero ¿puede un aprendiz de mago defender la escuela de los malvados que pretenden destruirla? Sin saber que alguien ha abierto la Cámara de los Secretos, dejando escapar una serie de monstruos peligrosos, Harry y sus amigos Ron y Hermione tendrán que enfrentarse con arañas gigantes, serpientes encantadas, fantasmas enfurecidos y, sobre todo, con la mismísima reencarnación de su más temible adversario.",4,
Libro,MARVEL. La enciclopedia,"Stan Lee, Adam Bray, DK","Mantente al día con el universo en constante expansión de Marvel con la nueva edición de la enciclopedia más vendida de DK, esta vez con una introducción de Stan Lee. Descubre los hechos esenciales sobre los héroes de Marvel Comics como el Capitán América, Spider-Man y Iron Man, y villanos como Thanos, Loki y Kingpin. Actualizada y expandida, esta enciclopedia definitiva de Marvel Comics revela información vital e historias secretas de más de 1200 personajes clásicos y nuevos de Marvel, y proporciona información sobre eventos clave recientes como Civil War 2, Secret Empire e Infinity Countdown. La enciclopedia sobre el gran Universo Marvel Con una introducción de Stan Lee, investigada meticulosamente e increíblemente ilustrada, esta magnífica guía del Universo Marvel presenta más de 1200 personajes atemporales de Marvel Comics. Los persos personajes aparecen representados con ilustraciones de los mejores artistas de Marvel Comics y acompañados de detallados perfiles redactados por un equipo de expertos en los cómics de Marvel. Desde equipos icónicos como Vengadores, X-Men y Guardianes de la Galaxia hasta los favoritos de los fanáticos Black Panther, Deadpool y Capitana Marvel, hasta las estrellas emergentes Amadeus Cho o Squirrel Girl, cada personaje importante de Marvel se exhibe como una obra de arte. ¡Esta enciclopedia es un revelador libro sobre el universo Marvel que ningún fan de la saga debería perderse! Descúbrelo a través de 12 capítulos que no te dejarán indiferente. Marvel: La enciclopedia pertenece a la sección de nuestro catálogo de libros de superhéroes para todos aquellos apasionados de los superhéroes de MARVEL. No te pierdas ninguno de nuestros títulos: guías, enciclopedias y diccionarios que te ayudarán a conocer todos los secretos de tus personajes favoritos y te descubrirán un universo nuevo y desconocido. © 2020 MARVEL",No disponible,
Libro,MCU: The Reign of Marvel Studios,"Joanna Robinson, Dave Gonzales, Gavin Edwards","“I watched all the movies. I devoured all the articles. I listened to all the pods. I thought I knew everything there was to know about the MCU . . . and then I read this magnificent book. For fans, by fans; hilarious, gripping, and emotional; no infinity stone is left unturned. I loved it three thousand.” —Damon Lindelof The unauthorized, behind-the-scenes story of the stunning rise—and suddenly uncertain reign—of the most transformative cultural phenomenon of our time: the Marvel Cinematic Universe. Marvel Entertainment was a moribund toymaker not even twenty years ago. Today, Marvel Studios is the dominant player both in Hollywood and in global pop culture. How did an upstart studio conquer the world? In MCU, beloved culture writers Joanna Robinson, Dave Gonzales, and Gavin Edwards draw on more than a hundred interviews with actors, producers, directors, and writers to present the definitive chronicle of Marvel Studios and its sole, ongoing production, the Marvel Cinematic Universe. For all its outward success, the studio was forged by near-constant conflict, from the contentious hiring of Robert Downey Jr. for its 2008 debut, Iron Man, all the way up to the disappointment of Ant-Man and the Wasp: Quantumania and shocking departures of multiple Marvel executives in 2023. Throughout, the authors demonstrate that the original genius of Marvel was its resurrection and modification of Hollywood’s old studio system. But will it survive its own spectacular achievements? Dishy and authoritative, MCU is the first book to tell the Marvel Studios story in full—and an essential, effervescent account of American mass culture.",No disponible,
